Date,Event
2026-01-01,Normal
2026-01-02,Normal
2026-01-03,Normal
2026-01-04,Holiday
2026-01-05,Normal
2026-01-06,Normal
2026-01-07,Normal
2026-01-08,Normal
2026-01-09,Normal
2026-01-10,Normal
2026-01-11,Holiday
2026-01-12,Normal
2026-01-13,Normal
2026-01-14,Normal
2026-01-15,Normal
2026-01-16,Normal
2026-01-17,Normal
2026-01-18,Holiday
2026-01-19,Normal
2026-01-20,Normal
2026-01-21,Normal
2026-01-22,Normal
2026-01-23,Normal
2026-01-24,Normal
2026-01-25,Holiday
2026-01-26,Normal
2026-01-27,Normal
2026-01-28,Normal
2026-01-29,Normal
2026-01-30,Normal
2026-01-31,Normal
2026-02-01,Holiday
2026-02-02,Normal
2026-02-03,Normal
2026-02-04,Normal
2026-02-05,Normal
2026-02-06,Normal
2026-02-07,Normal
2026-02-08,Holiday
2026-02-09,Normal
2026-02-10,Normal
2026-02-11,Normal
2026-02-12,Normal
2026-02-13,Normal
2026-02-14,Normal
2026-02-15,Holiday
2026-02-16,Normal
2026-02-17,Normal
2026-02-18,Normal
2026-02-19,Normal
2026-02-20,Normal
2026-02-21,Normal
2026-02-22,Holiday
2026-02-23,Normal
2026-02-24,Normal
2026-02-25,Normal
2026-02-26,Normal
2026-02-27,Normal
2026-02-28,Normal
2026-03-01,Holiday
2026-03-02,Normal
2026-03-03,Normal
2026-03-04,Normal
2026-03-05,Normal
2026-03-06,Normal
2026-03-07,Normal
2026-03-08,Holiday
2026-03-09,Exam
2026-03-10,Exam
2026-03-11,Exam
2026-03-12,Exam
2026-03-13,Exam
2026-03-14,Normal
2026-03-15,Holiday
2026-03-16,Normal
2026-03-17,Normal
2026-03-18,Normal
2026-03-19,Normal
2026-03-20,Normal
2026-03-21,Normal
2026-03-22,Holiday
2026-03-23,Normal
2026-03-24,Normal
2026-03-25,Normal
2026-03-26,Normal
2026-03-27,Normal
2026-03-28,Normal
2026-03-29,Holiday
2026-03-30,Normal
2026-03-31,Normal
2026-04-01,Normal
2026-04-02,Normal
2026-04-03,Normal
2026-04-04,Normal
2026-04-05,Holiday
2026-04-06,Normal
2026-04-07,Normal
2026-04-08,Normal
2026-04-09,Normal
2026-04-10,Normal
2026-04-11,Normal
2026-04-12,Holiday
2026-04-13,Normal
2026-04-14,Normal
2026-04-15,Normal
2026-04-16,Normal
2026-04-17,Normal
2026-04-18,Normal
2026-04-19,Holiday
2026-04-20,Normal
2026-04-21,Normal
2026-04-22,Normal
2026-04-23,Normal
2026-04-24,Normal
2026-04-25,Normal
2026-04-26,Holiday
2026-04-27,Normal
2026-04-28,Normal
2026-04-29,Normal
2026-04-30,Normal
2026-05-01,Normal
2026-05-02,Normal
2026-05-03,Holiday
2026-05-04,Normal
2026-05-05,Normal
2026-05-06,Normal
2026-05-07,Normal
2026-05-08,Holiday
2026-05-09,Holiday
2026-05-10,Holiday
2026-05-11,Holiday
2026-05-12,Holiday
2026-05-13,Holiday
2026-05-14,Holiday
2026-05-15,Holiday
2026-05-16,Holiday
2026-05-17,Holiday
2026-05-18,Holiday
2026-05-19,Holiday
2026-05-20,Holiday
2026-05-21,Holiday
2026-05-22,Holiday
2026-05-23,Holiday
2026-05-24,Holiday
2026-05-25,Holiday
2026-05-26,Holiday
2026-05-27,Holiday
2026-05-28,Holiday
2026-05-29,Normal
2026-05-30,Normal
2026-05-31,Holiday
2026-06-01,Exam
2026-06-02,Exam
2026-06-03,Exam
2026-06-04,Exam
2026-06-05,Exam
2026-06-06,PrepHoliday
2026-06-07,Holiday
2026-06-08,Normal
2026-06-09,Normal
2026-06-10,Normal
2026-06-11,Normal
2026-06-12,Normal
2026-06-13,Normal
2026-06-14,Holiday
2026-06-15,LabExam
2026-06-16,PrepHoliday
2026-06-17,LabExam
2026-06-18,PrepHoliday
2026-06-19,LabExam
2026-06-20,Normal
2026-06-21,Holiday
2026-06-22,Exam
2026-06-23,PrepHoliday
2026-06-24,Exam
2026-06-25,PrepHoliday
2026-06-26,Exam
2026-06-27,PrepHoliday
2026-06-28,Holiday
2026-06-29,Exam
2026-06-30,PrepHoliday
2026-07-01,Exam
2026-07-02,Normal
2026-07-03,Normal
2026-07-04,Normal
2026-07-05,Holiday
2026-07-06,Normal
2026-07-07,Normal
2026-07-08,Normal
2026-07-09,Normal
2026-07-10,Normal
2026-07-11,Normal
2026-07-12,Holiday
2026-07-13,Normal
2026-07-14,Normal
2026-07-15,Normal
2026-07-16,Normal
2026-07-17,Normal
2026-07-18,Normal
2026-07-19,Holiday
2026-07-20,Normal
2026-07-21,Normal
2026-07-22,Normal
2026-07-23,Normal
2026-07-24,Normal
2026-07-25,Normal
2026-07-26,Holiday
2026-07-27,Normal
2026-07-28,Normal
2026-07-29,Normal
2026-07-30,Normal
2026-07-31,Normal
2026-08-01,Normal
2026-08-02,Holiday
2026-08-03,Normal
2026-08-04,Normal
2026-08-05,Normal
2026-08-06,Normal
2026-08-07,Normal
2026-08-08,Normal
2026-08-09,Holiday
2026-08-10,Normal
2026-08-11,Normal
2026-08-12,Normal
2026-08-13,Normal
2026-08-14,Normal
2026-08-15,Normal
2026-08-16,Holiday
2026-08-17,Normal
2026-08-18,Normal
2026-08-19,Normal
2026-08-20,Normal
2026-08-21,Normal
2026-08-22,Normal
2026-08-23,Holiday
2026-08-24,Normal
